PPIN,Enrol_Elem,Enrol_High,Enrol_Midl
1412727,150,0,45
1412738,68,0,23
1412749,103,0,48
1412771,0,504,0
1412818,0,171,0
1412829,215,0,64
1412851,127,0,20
1412942,10,0,9
1412964,403,224,233
1412975,35,0,5
1413017,221,0,70
1413028,6,0,0
1924917,34,51,13
1924928,0,25,0
2063036,8,1,8
2163857,88,0,19
A0109535,0,43,0
A0109536,128,7,37
A0109548,0,37,0
A0109557,5,0,0
A0109564,55,0,6
A0303167,27,0,0
A0303168,48,0,0
A0303170,262,0,89
A0303173,96,0,237
A0303174,0,27,0
A0303176,0,36,0
A0503508,18,0,0
A0503510,32,0,0
A0503512,3,0,0
A0503514,0,138,0
A0503518,11,2,6
A0509170,12,0,0
A0702296,96,19,25
A0702299,0,129,0
A0702302,0,1,0
A0702309,67,45,55
A0702313,0,51,0
A0702317,0,43,8
A0702318,0,27,0
A0702319,0,8,4
A0771889,13,0,0
A0771892,37,0,0
A0771895,12,0,0
A0771897,20,0,0
A0903651,1,0,18
A0903658,0,54,0
A0903661,0,27,0
A0971660,7,0,0
A0971666,15,0,0
A0990132,6,0,0
A1102232,0,44,0
A1102235,0,0,0
A1102237,0,48,0
A1102241,0,400,0
A1102243,0,5,0
A1102247,75,0,0
A1102248,7,0,0
A1102250,0,25,0
A1102255,86,0,21
A1102258,0,38,0
A1303524,0,12,0
A1303530,403,223,232
A1303535,41,0,5
A1371483,0,0,0
A1371488,0,0,0
A1390363,0,5,0
A1503854,63,0,12
A1503867,115,0,0
A1503880,0,60,0
A1503883,20,4,11
A1503898,0,24,0
A1703618,17,0,0
A1703622,134,0,0
A1904450,19,0,0
A1904451,0,115,0
A1904453,26,0,0
A1904454,7,0,0
A1904455,0,48,0
A1904457,34,82,128
A1904460,0,6,37
A1904462,38,0,10
A1904475,5,0,0
A1904478,0,34,0
A1904479,4,12,3
A1904482,2,6,4
A1904497,1,5,16
A1990775,0,36,0
A1990776,10,1,2
A2103911,0,46,0
A2103915,0,36,0
A2103923,0,32,0
A2103924,0,30,0
A2103932,0,85,0
A2103936,0,28,0
A2103940,10,4,20
A2103943,0,10,10
A2190824,0,111,0
A2192436,2,0,6
A2192437,4,0,0
A9106545,11,14,14
A9106546,88,0,30
A9106549,38,0,0
A9106550,0,62,0
A9106551,38,0,11
A9106559,44,0,14
A9106562,0,65,0
A9106563,136,0,25
A9300993,127,69,67
A9304095,0,82,0
A9304205,20,0,0
A9504227,27,0,3
A9703416,0,98,0
A9704561,13,0,0
A9704569,15,0,0
A9704594,72,0,0
A9704601,24,0,0
A9904321,292,0,89
A9904322,62,0,16
AA001502,394,234,264
AA890947,6,26,13
K9306116,54,0,13
